release_year,runtime_minutes,success_class,log_budget,log_google_trends_average,is_summer_release,is_holiday_release,genre_count,is_franchise,num_production_companies,country_count,language_count,is_english,director_avg_gross,writer_avg_gross,creative_type_encoded,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Multiple Genres,genre_Musical,genre_Reality,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Unknown,genre_Western,primary_genre_encoded
2023,125.0,1.0,19.088510121656228,3.5617789518197043,1,0,1,1,4,2,1,1,14.93445088761008,18.267884172678155,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,105.0,1.0,19.088510121656228,3.8487739751204466,1,0,1,0,0,1,1,0,16.350593157309184,19.43029347191939,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2013,113.0,0.0,19.088510121656228,3.4955295662785035,0,0,1,0,6,2,1,1,18.94538438242696,20.4438755246399,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,125.0,1.0,19.06253463538792,3.2531214033813685,0,0,1,1,6,2,1,1,17.986928776709224,19.210108395396727,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,125.0,1.0,19.06253463538792,2.72722011720993,0,0,1,1,2,2,1,1,17.674421051470954,19.497542796879976,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125.0,1.0,19.06253463538792,3.7112089305120253,1,0,1,1,3,3,2,1,19.649109510889982,19.813077114884965,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,115.0,1.0,19.06253463538792,3.9763598933358777,1,0,1,1,5,2,1,1,16.625063789828413,19.887866847687985,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,105.0,0.0,19.06253463538792,3.16724291424373,1,0,1,0,0,1,1,0,19.18652438058862,19.18652438058862,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2009,95.0,0.0,19.06253463538792,3.033711521619207,0,1,1,0,2,2,1,1,0.0,0.0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
2013,125.0,1.0,19.06253463538792,3.286232950650149,1,0,1,1,4,4,3,1,18.656012809636245,20.016455517363273,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,125.0,0.0,19.06253463538792,3.469760053099452,0,0,1,1,3,2,1,1,18.991156144140533,20.799070016583656,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
